Code,Name,County,PreK Region,Total Served by All Programs (unduplicated) 3s & 4s,Total Full Day Seats (unduplicated) 3s & 4s,Total Half Day Seats (unduplicated)  3s & 4s,Total UPK              (Half and Full Day),Half-Day UPK 3-Yr.-Olds,Half-Day UPK 4-Yr.-Olds,Total Half-Day UPK,Full-Day UPK 3-Yr.-Olds,Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,Total Conversions (other grants),Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,New Full-Day Seats,Total Seats Served by Federal SUFDPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,Total TPK              (Half and Full Day),Half-Day TPK 3-Yr.-Olds,Half-Day TPK 4-Yr.-Olds,Total Half-Day TPK,Full-Day TPK 3-Yr.-Olds,Full-Day TPK 4-Yr.-Olds,Total Full-Day TPK,Students Served in Half Day Slots,Students Served in Full Day Slots,2021-22 PROXY FOR UNSERVED FOUR-YEAR-OLDS,Percentage Served         2021-22
021601,FRIENDSHIP    ,ALLEGANY,Western New York,16 ,16 ,0 ,16 ,0 ,0 ,0 ,0 ,16 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,18,89%
022001,FILLMORE      ,ALLEGANY,Western New York,63 ,0 ,63 ,63 ,26 ,37 ,63 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,0 ,34,100%
022101,WHITESVILLE   ,ALLEGANY,Western New York,7 ,0 ,7 ,7 ,0 ,7 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,11,64%
022302,CUBA-RUSHFORD ,ALLEGANY,Western New York,38 ,0 ,38 ,38 ,0 ,38 ,38 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38 ,0 ,40,95%
022401,SCIO          ,ALLEGANY,Western New York,22 ,22 ,0 ,22 ,0 ,0 ,0 ,0 ,22 ,22 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22 ,20,100%
022601,WELLSVILLE    ,ALLEGANY,Western New York,56 ,56 ,0 ,56 ,0 ,0 ,0 ,0 ,56 ,56 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,56 ,62,90%
022902,BOLIVAR-RICHBG,ALLEGANY,Western New York,56 ,36 ,20 ,56 ,14 ,6 ,20 ,0 ,36 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,36 ,45,93%
030101,CHENANGO FORKS,BROOME,Southern Tier,63 ,0 ,63 ,63 ,0 ,63 ,63 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63 ,0 ,64,98%
030200,BINGHAMTON    ,BROOME,Southern Tier,318 ,187 ,131 ,318 ,65 ,66 ,131 ,17 ,170 ,187 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,170 ,364,65%
030501,HARPURSVILLE  ,BROOME,Southern Tier,31 ,31 ,0 ,31 ,0 ,0 ,0 ,0 ,31 ,31 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31 ,28,100%
